Draw Date,Midday Daily #,Midday Daily Sum,Evening Daily #,Evening Daily Sum,Midday Win 4 #,Midday Win 4 Sum,Evening Win 4 #,Evening Win 4 Sum,Midday Daily Booster,Evening Daily Booster,Midday Win 4 Booster,Evening Win 4 Booster
01/20/2019,115,,679,,9422,,6289,,  ,  ,  ,
01/19/2019,907,,206,,2458,,4842,,  ,  ,10,05
01/18/2019,854,,117,,8564,,1030,,  ,  ,05,10
01/17/2019,661,,737,,2399,,2177,,  ,  ,10,10
01/16/2019,254,,014,,2897,,8119,,  ,  ,20,10
01/15/2019,386,,278,,1071,,7612,,  ,  ,05,20
01/14/2019,594,,307,,1426,,4246,,  ,  ,20,05
01/13/2019,119,,655,,2294,,9030,,  ,  ,05,05
01/12/2019,819,,926,,2158,,0150,,20,05,  ,
01/11/2019,225,,411,,5672,,2688,,05,05,  ,
01/10/2019,051,,750,,8566,,8264,,10,10,  ,
01/09/2019,203,,924,,1896,,8470,,20,20,  ,
01/08/2019,188,,440,,4855,,7786,,05,05,  ,
01/07/2019,663,,478,,9183,,1751,,05,05,  ,
01/06/2019,874,,662,,5340,,9768,,20,05,  ,